"","sample_year","sample_date","project_code","trip_no","effort_no","submitter_sample_id","management_area_code","location_code","fishery_code","gear_type","gear_code","submitter_specimen_id","date_sampled","field_species_code","length","length_type_code","weight","weight_type_code","gender_code","maturity_code","specimen_comment"
"1",2020,2020-04-29,"SS1","011","2001","20010011",NA,"K13","SU","Dredge","22",8,2020-04-29,"850",NA,"SH",322,"WH","M",NA,NA
"2",2020,2020-04-30,"SS1","018","2001","20010018",NA,"K13","SU","Dredge","22",10,2020-04-30,"850",NA,"SH",266,"WH","M",NA,NA
"3",2020,2020-05-01,"SS1","030","2001","20010030",NA,"K13","SU","Dredge","22",2,2020-05-01,"850",NA,"SH",227,"WH","M",NA,NA
"4",2020,2020-05-12,"SS1","121","2001","20010121",NA,"K04","SU","Dredge","22",1,2020-05-12,"850",NA,"SH",113,"WH","M",NA,NA
"5",2020,2020-05-13,"SS1","146","2001","20010146",NA,"K03","SU","Dredge","22",10,2020-05-13,"850",NA,"SH",97,"WH",NA,NA,NA
"6",2020,2020-05-01,"SS1","045","2001","20010045",NA,"K13","SU","Dredge","22",13,2020-05-01,"850",0,"SH",89,"WH","F",NA,NA
"7",2020,2020-05-03,"SS1","060","2001","20010060",NA,"K01","SU","Dredge","22",20,2020-05-03,"850",0,"SH",2,"WH",NA,NA,NA
"8",2020,2020-05-10,"SS1","085","2001","20010085",NA,"K02","SU","Dredge","22",20,2020-05-10,"850",0,"SH",1,"WH",NA,NA,NA
"9",2020,2020-05-11,"SS1","102","2001","20010102",NA,"K02","SU","Dredge","22",13,2020-05-11,"850",0,"SH",1,"WH",NA,NA,NA
"10",2020,2020-05-11,"SS1","105","2001","20010105",NA,"K02","SU","Dredge","22",18,2020-05-11,"850",0,"SH",1,"WH",NA,NA,NA
"11",2020,2020-05-11,"SS1","117","2001","20010117",NA,"K02","SU","Dredge","22",20,2020-05-11,"850",0,"SH",1,"WH",NA,NA,NA
"12",2020,2020-05-04,"SS1","075","2001","20010075",NA,"K06","SU","Dredge","22",6,2020-05-04,"850",14,"SH",249,"WH","F",NA,NA
